_id,wkb_geometry,country,project name,type,status,capacity (mw),year of completion,country list of sponsor/developer,sponsor/developer company,country list of lender/financier,lender/financier company,country list of construction/epc,construction company/epc participant,country_1,province/state,district,tributary,latitude,longitude,proximity,avg. annual output (mwh),data source,announcement/more information,link
279,0101000020E6100000054F2157EA2D5A408F39CFD8971C3340,Vietnam,Khe Thoi,Hydro,Operational,12,2019,,,,,,,,,,,19.111692,104.717428,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
280,0101000020E61000005B423EE8D9F45A40143FC6DCB5642D40,Vietnam,Kon Dao,Hydro,Operational,1,1984,,,,,,,Vietnam,Kon Tum,Đắk Tô,Sesan,14.6967,107.8258,,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/kon-dao-Hydropower,
281,0101000020E6100000B7627FD93D2D5B40EF2076A6D0E92940,Vietnam,Krong H'Nang,Hydro,Operational,64,2011,Vietnam,EVN (Vietnam),,,,,Vietnam,Phú Yên,Sông Hinh,Krong Hnang,12.95667,108.7069,,,Wikipedia,http://icon.com.vn/vn-s83-101633-641/-Khanh-thanh-Nha-may-thuy-dien-Krong-H%E2%80%99nang.aspx,
282,0101000020E6100000E998F38C7D375B402B31CF4A5A812940,Vietnam,Krong Hin,Hydro,Operational,5,2006,,,,,,,,,,,12.752642,108.867038,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
283,0101000020E6100000840D4FAF94155B408195438B6CE72840,Vietnam,Krong Kmar,Hydro,Operational,12,2008,Vietnam,Song Da Investment and Development JSC,,,,,Vietnam,Đắk Lắk,Krông Bông,Srepok,12.452,108.3372,,60000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/krong-kmar-Hydropower,
284,0101000020E6100000D9CEF753E3155B405C2041F1637C2840,Vietnam,Krong No 2 (Thủy điện Krong No 2),Hydro,Operational,30,2017,Vietnam,Trungnam Krong No (Vietnam),Vietnam,Saigon Hanoi Commercial Joint Stock Bank (Vietnam),,,Vietnam,Lâm Đồng,Lạc Dương,Srepok,12.24295,108.342,,105870,Sponsor Website,https://baodautu.vn/khanh-thanh-cong-trinh-thuy-dien-krong-no-2-tong-von-dau-tu-1408-ty-dong-d57270.html,https://www.trungnamgroup.com.vn/en-US/krong-no-2-hydropower-plant
285,0101000020E6100000F54A598638125B405C2041F1636C2840,Vietnam,Krong No 3,Hydro,Operational,18,2016,Vietnam,Trung Nam Power,,,,,Vietnam,Lâm Đồng,Đam Rông,Srepok,12.2117,108.2847,,63500,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/krong-no-3-Hydropower,
286,0101000020E61000006666666666365B4070CE88D2DE002B40,Vietnam,La Hieng 2,Hydro,Operational,18,2015,Vietnam,VRG Phu Yen JSC.,,,,,Vietnam,Phú Yên,Đồng Xuân,Song Go Duoi,13.5017,108.85,,68000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/la-hieng-2-Hydropower,
287,0101000020E61000005917B7D100C25A40904DF2237E813040,Vietnam,La To,Hydro,Operational,12.6,2020,,,,,,,,,,,16.505831,107.0313,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
288,0101000020E61000000A80F10C1A735A406744696FF0DD3140,Vietnam,La Trong,Hydro,Operational,18,2015,,,,,,,,,,,17.86695,105.798465,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
289,0101000020E610000034A2B437F8BE5940B398D87C5C233640,Vietnam,Lai Chau (Thủy điện Lai Châu) AKA Thủy điện Nậm Nhùn,Hydro,Operational,1200,2015,Vietnam,EVN (Vietnam),,,Vietnam,Hydroproject and Power Construction No. 1 JSC (Vietnam),Vietnam,Lai Châu,Nậm Nhùn,Black-Li Xian,22.13813,102.9839,,,Wikipedia,,
290,0101000020E61000002575029A08F759408FC2F5285C4F3640,Vietnam,Lao Chai,Hydro,Operational,2.4,2013,Vietnam,Hong Ngoc Co. Ltd,,,,,Vietnam,Lào Cai,Sa Pa,Red Mainstem and Delta,22.31,103.8599,,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/lao-chai-Hydropower,
291,0101000020E6100000143FC6DCB5055A400F45813E910B3640,Vietnam,Minh Luong,Hydro,Operational,28,2018,,,,,,,,,,,22.045185,104.089225,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
292,0101000020E61000002C836A83135F5A40C39CA04D0EDB3640,Vietnam,Mong An,Hydro,Operational,30,2019,,,,,,,,,,,22.855687,105.485566,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
293,0101000020E610000019E25817B7ED5940FCC6D79E598A3640,Vietnam,Muong Hum,Hydro,Operational,32,2011,Vietnam,Son Vu Energy Development JSC,,,China,"Zhejiang Zhongzhou Water Resources and Hydropower Planning and Design Co., Ltd. (China)",Vietnam,Lào Cai,Bát Xát,Red Mainstem and Delta,22.54043,103.7143,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/muong-hum-Hydropower,
294,0101000020E610000034D8D47954F45940FFB1101D02FB3440,Vietnam,Muong Hung,Hydro,Operational,24,2019,,,,,,,,,,,20.980501,103.817656,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
295,0101000020E6100000A7E8482EFFF959401EA7E8482EDF3540,Vietnam,Muong Kim 1 (Thủy điện Mường Kim),Hydro,Operational,13.5,2010,Vietnam,Hanoi Electrical Equipment JSC.,,,,,Vietnam,Yên Bái,Mù Căng Chải,Black-Li Xian,21.8718,103.9062,,54000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/muong-kim-Hydropower,
296,0101000020E61000000C022B8716F95940382D78D157E03540,Vietnam,Muong Kim 2 (Thủy điện Mường Kim 2),Hydro,Operational,10.5,2018,Vietnam,Cty TNHH Một thành viên Thủy nông Lai Châu,,,Vietnam,Cty Cổ phần Cơ khí thiết bị điện Hà Nội,Vietnam,Yên Bái,Mù Căng Chải,Black-Li Xian,21.87634,103.892,,,Sponsor Website,https://laodong.vn/xa-hoi/thuy-dien-muong-kim-2-dao-ham-khong-phep-xuyen-quoc-lo-32-758111.ldo,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_M%C6%B0%E1%BB%9Dng_Kim
297,0101000020E61000007593180456A65A4073D712F241AF3640,Vietnam,Na Loa,Hydro,Operational,6,2006,Vietnam,Cao Bang Hydropower- Metallurgic Company,,,,,Vietnam,Cao Bằng,Hạ Lang,Pearl,22.6846,106.599,,30000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/th-y-di-n-na-loa,
298,0101000020E610000088855AD3BCC359409CA223B9FC773540,Vietnam,Na Loi,Hydro,Operational,9.3,2003,Vietnam,Na Loi Hydropower JSC,,,,,Vietnam,Điện Biên,Điện Biên,Nam Ou,21.4687,103.0584,,46300,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/na-loi-Hydropower,
299,0101000020E6100000B81E85EB51A05A40075F984C15AC3640,Vietnam,Na Tau,Hydro,Operational,6,2014,Vietnam,Bac Minh Development Investment JSC,,,,,Vietnam,Cao Bằng,Quảng Uyên,Pearl,22.6722,106.505,,19000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/th-y-di-n-na-t-u,
300,0101000020E61000005359147651A05A4055302AA913AC3640,Vietnam,Na Tau,Hydro,Operational,6,2014,,,,,,,,,,,22.672175,106.504972,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
301,0101000020E610000085402E71E4C6594005C1E3DBBB663640,Vietnam,Nam Ban (3 bac),Hydro,Operational,50,2019,,,,,,,,,,,22.401304,103.107693,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
302,0101000020E6100000FB1F60ADDABE5940B2463D44A3673640,Vietnam,Nam Bum 1,Hydro,Operational,16,2019,,,,,,,,,,,22.404835,102.982097,,,Song Da 505 Joint Stock Company,,http://songda505.com.vn/en/thuy-dien-nam-bum-1/
303,0101000020E61000004F9143C4CDB65940F19F6EA0C05F3640,Vietnam,Nam Bum 2,Hydro,Operational,25,2021,,,,,,,,,,,22.374033,102.856309,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
304,0101000020E61000004700378B17065A4068B0A9F3A8703340,Vietnam,Nam Can 2,Hydro,Operational,20,2015,,,,,,,,,,,19.440078,104.095187,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
305,0101000020E610000034A2B437F8BE59404F1E166A4D233640,Vietnam,Nam Cat,Hydro,Operational,3.2,,Vietnam,Northern Cement Comercial JSC,,,,,Vietnam,Lai Châu,Nậm Nhùn,Black-Li Xian,22.1379,102.9839,,18000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam,
306,0101000020E6100000A857CA32C4715A40A4DFBE0E9C333640,Vietnam,Nam Cat,Hydro,Operational,5,2012,Vietnam,Bac Kan Hydropower Petro & Gasoline JSC,,,,,Vietnam,Bắc Kạn,Bạch Thông,Song Cau-Song Thuong-Song Luc Nam,22.2016,105.7776,,12000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-cat-Hydropower,
307,0101000020E6100000D672672618B359404AEF1B5F7B6E3640,Vietnam,Nam Cau 1,Hydro,Operational,10,,,,,,,,,,,,22.43157,102.798349,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
308,0101000020E6100000371B2B31CFB359403A596ABDDF643640,Vietnam,Nam Cau 2,Hydro,Operational,10,,,,,,,,,,,,22.394039,102.809521,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
309,0101000020E6100000B7627FD93D095A408E3BA583F5973540,Vietnam,Nam Chien 1 (Thủy điện Nậm Chiến),Hydro,Operational,200,2013,Vietnam,Nam Chien Hydro Power JSC.,,,,,Vietnam,Sơn La,Mường La,Black-Li Xian,21.59359,104.1444,,,Vietnam Electricity,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_Chi%E1%BA%BFn_1,
310,0101000020E610000036CD3B4ED1055A40800EF3E505803540,Vietnam,Nam Chien 2 (Thủy điện Nậm Chiến 2),Hydro,Operational,32,2009,Vietnam,North - West JSC (Vietnam),,,,,Vietnam,Sơn La,Mường La,Black-Li Xian,21.50009,104.0909,,,Vietnam Electricity,"https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf
 https://wle-mekong.cgiar.org/construction-of-nam-chien-Hydropower-project-begins/",
311,0101000020E6100000933A014D84155A405C1B2AC6F9533540,Vietnam,Nam Chim 1 (Thủy điện Nậm Chim),Hydro,Operational,16,2010,Vietnam,Cty CP năng lượng Sông Lam Sơn La,,,Vietnam,Cty CP năng lượng Sông Lam Sơn La,Vietnam,Sơn La,Bắc Yên,Black-Li Xian,21.32803,104.3362,,,Wikipedia,http://songlamsonla.vn/vn/du-an-nha-may-thuy-dien-nam-chim-1-a73.html;,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_Chim
312,0101000020E61000003C4ED1915C165A400F7F4DD6A8573540,Vietnam,Nam Chim 1A (Thủy điện Nậm Chim),Hydro,Operational,10,2015,Vietnam,Cty CP năng lượng Sông Lam Sơn La,,,Vietnam,Cty CP năng lượng Sông Lam Sơn La,Vietnam,Sơn La,Bắc Yên,Black-Li Xian,21.34242,104.3494,,,Wikipedia,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_Chim,http://icon.com.vn/vn-s83-108244-657/Dua-vao-hoat-dong-16-nha-may-thuy-dien.aspx
313,0101000020E61000003C4ED1915C165A400F7F4DD6A8573540,Vietnam,Nam Chim 1B (Thủy điện Nậm Chim),Hydro,Operational,10,2016,Vietnam,Cty CP năng lượng Sông Lam Sơn La,,,Vietnam,Cty CP năng lượng Sông Lam Sơn La,Vietnam,Sơn La,Bắc Yên,Black-Li Xian,21.34242,104.3494,,,Wikipedia,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_Chim,http://songlamsonla.vn/vn/cho-phep-lap-du-an-thuy-dien-nam-chim-1b-a100.html
314,0101000020E61000007DAEB6627F115A409CDCEF5014483540,Vietnam,Nam Chim 2 (Thủy điện Nậm Chim),Hydro,Operational,14,2015,Vietnam,Cty CP năng lượng Sông Lam Sơn La,,,Vietnam,Cty CP năng lượng Sông Lam Sơn La,Vietnam,Sơn La,Bắc Yên,Black-Li Xian,21.28156,104.2734,,,Wikipedia,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_Chim,
315,0101000020E6100000C3D32B6519A65940D656EC2FBB873640,Vietnam,Nam Cum (Thủy điện Nậm Củm),Hydro,Operational,40,2019,Vietnam,"Son Da, Hoang Lien Hydropower (Vietnam)",,,Vietnam,Hoa Phat (Vietnam),Vietnam,Lai Châu,Mường Tè,Black-Li Xian,22.5302,102.5953,,,Wikipedia,"https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf
 https://www.miga.org/press-release/miga-credit-enhancement-backs-hoi-xuan-Hydropower-vietnam",
316,0101000020E6100000C85F5AD427A659403FE5982CEE873640,Vietnam,Nam Cum 4,Hydro,Operational,54,2019,,,,,,,,,,,22.530978,102.596181,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
317,0101000020E610000079CDAB3AABE75940C2C1DEC4903C3640,Vietnam,Nam Dich 1,Hydro,Operational,18,2020,,,,,,,,,,,22.236584,103.619826,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
318,0101000020E61000002176A6D079195A40F415A4198B963540,Vietnam,Nam Dong,Hydro,Operational,21.4,2011,,,,,,,,,,,21.58806,104.39806,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
319,0101000020E6100000AF94658863F15940F888981249AC3540,Vietnam,Nam Gion (Thủy điện Nậm Giôn),Hydro,Operational,20,2011,Vietnam,Công ty cổ phần Đầu tư Xây dựng và Thương mại Hà Thao,,,,,Vietnam,Sơn La,Mường La,Black-Li Xian,21.67299,103.7717,,,Wikipedia,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_Gi%C3%B4n,http://vietnamprp.com.vn/prp/vi/d-an/nha-may-in/123-nha-may-thy-in-nm-gion.html
320,0101000020E6100000643BDF4F8DEB5940FF21FDF675903640,Vietnam,Nam Ho,Hydro,Operational,7.5,,,South East Asia Corporation,,,,,Vietnam,Lào Cai,Bát Xát,Red Mainstem and Delta,22.5643,103.6805,,100000,Open Development Vietnam,https://vietnam.opendevelopmentmekong.net/dataset/?id=danh-sach-cac-th-y-di-n-t-i-vi-t-nam-tinh-d-n-thang-06-2016&search_query=P3BhZ2U9Mg==,
321,0101000020E610000060764F1E16DA5940EC2FBB270F5B3540,Vietnam,Nam Hoa 1,Hydro,Operational,18,2015,Vietnam,ANPHA Hydro Power JSC,,,,,Vietnam,Sơn La,Thuận Châu,Ma mainstem,21.3557,103.4076,,70000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-hoa-1-Hydropower,
322,0101000020E6100000D50968226C0C5A40F775E09C11753540,Vietnam,Nam Hong (Thủy điện Nậm Hồng),Hydro,Operational,8,2013,Vietnam,Cty CP Xây dựng và Thương mại Lam Sơn,,,,,Vietnam,Sơn La,Mường La,Black-Li Xian,21.4573,104.1941,,,EVN,,
323,0101000020E6100000D50968226C0C5A40F775E09C11753540,Vietnam,Nam Hong 2 (Thủy điện Nậm Hồng 2),Hydro,Operational,8,2012,Vietnam,Cty CP Xây dựng và Thương mại Lam Sơn,,,,,Vietnam,Sơn La,Mường La,Black-Li Xian,21.4573,104.1941,,,EVN,http://www.lamsonvn.com/thuy-dien-nam-hong-1-2.html,
324,0101000020E61000005DDC460378175A402FFA0AD28C7D3640,Vietnam,Nam Khanh (Thủy điện Nậm Khánh),Hydro,Operational,12,2012,Vietnam,Công ty cổ phần Sông Đà 9,,,,,Vietnam,Lào Cai,Bắc Hà,Song Lo-Nga Tao,22.49043,104.3667,,,EVN,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_Kh%C3%A1nh,http://www.songda9.com/thuy-dien-nam-khanh-31754
325,0101000020E610000048FAB48AFE065A405AB8ACC266103640,Vietnam,Nam Khat,Hydro,Operational,7.5,2018,,,,,,,,,,,22.064068,104.109286,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
326,0101000020E6100000954737C2A2FE5940E00F3FFF3D103640,Vietnam,Nam Khoa,Hydro,Operational,18,2011,,,,,,,,,,,22.063446,103.978684,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
327,0101000020E6100000FB5C6DC5FE0A5A405227A089B0A13540,Vietnam,Nam Khot (Thủy điện Nậm Khốt),Hydro,Operational,14,2011,Vietnam,Nam Khot Hydropower JSC.,,,,,Vietnam,Sơn La,Mường La,Black-Li Xian,21.6316,104.1718,,56000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-khot-Hydropower,
328,0101000020E6100000363E93FDF3FE59403255302AA9673540,Vietnam,Nam La,Hydro,Operational,32,2011,,,,,,,,,,,21.404925,103.983642,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
329,0101000020E61000001E166A4DF3FE59408126C286A7673540,Vietnam,Nam La (Thủy điện Nậm La),Hydro,Operational,27,2011,Vietnam,Noth West VIWASWEEN Hydro Power JSC (Vietnam Water and Environment Investment Corporation – JSC),,,,,Vietnam,Sơn La,Mường La,Black-Li Xian,21.4049,103.9836,,127500,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-la-Hydropower,
330,0101000020E610000003EACDA8F9505A40FF791A3048F63640,Vietnam,Nam Lang,Hydro,Operational,12,,,,,,,,,,,,22.962039,105.265238,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
331,0101000020E610000003098A1F63165A402C6519E258573540,Vietnam,Nam Luc,Hydro,Operational,24,,USA,"South East Asia Capital Group, Corporation",,,,,Vietnam,Sơn La,Bắc Yên,Black-Li Xian,21.3412,104.3498,,100000,Open Development Vietnam,https://vietnam.opendevelopmentmekong.net/dataset/?id=danh-sach-cac-th-y-di-n-t-i-vi-t-nam-tinh-d-n-thang-06-2016&search_query=P3BhZ2U9Mg==,
332,0101000020E61000003C855CA967D85940D6AD9E93DE9F3640,Vietnam,Nam Lum 2,Hydro,Under Construction,18,2021,,,,,,,,,,,22.62449,103.381327,,,SCI Group,,http://scigroup.vn/en/news/nam-lum-2-determination-to-reach-the-2020-plan.html
333,0101000020E61000007C43E1B375245A40EBC9FCA36F8E3640,Vietnam,Nam Ly,Hydro,Operational,5.1,2017,,,,,,,,,,,22.556391,104.569684,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
334,0101000020E6100000AC8BDB6800455A40DA5548F949E53640,Vietnam,Nam Ma,Hydro,Operational,18,2018,,,,,,,,,,,22.89566,105.07815,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
335,0101000020E6100000D0D556EC2F075A40D200DE02096A3340,Vietnam,Nam Mo (Thủy điện Nậm Mở),Hydro,Operational,18,2013,Vietnam,Công ty Điện lực Miền Bắc,,,,,Vietnam,Nghệ An,Kỳ Sơn,Nam Mo,19.4142,104.1123,,65000,Open Development Vietnam,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_M%E1%BB%9F,
336,0101000020E61000002B1895D409F85940C898BB9690BF3540,Vietnam,Nam Mo 2 (Thủy điện Nậm Mở 2),Hydro,Operational,12,2010,Vietnam,Công ty Điện lực Miền Bắc,,,,,Vietnam,Lai Châu,Than Uyên,Black-Li Xian,21.7483,103.8756,,48850,Open Development Vietnam,https://vi.wikipedia.org/wiki/Th%E1%BB%A7y_%C4%91i%E1%BB%87n_N%E1%BA%ADm_M%E1%BB%9F,
337,0101000020E61000007A36AB3E57135A40C442AD69DE513540,Vietnam,Nam Mo 3 (Thủy điện Nậm Mở 3),Hydro,Operational,10,2010,Vietnam,Nam Mo Hydro Power JSC,,,,,Vietnam,Sơn La,Bắc Yên,Black-Li Xian,21.3198,104.3022,,40000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-mo-3-Hydropower,
338,0101000020E6100000CE1951DA1B385A40B1E1E995B28C3640,Vietnam,Nam Mu,Hydro,Operational,12,2004,Vietnam,Song Da Corporation,,,,,Vietnam,Hà Giang,Bắc Quang,Song Lo-Nga Tao,22.5496,104.8767,,56000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-mu-Hydropower,
339,0101000020E6100000ED9BFBABC7D45940A86DC32808CA3540,Vietnam,Nam Mu 2,Hydro,Operational,10.2,2017,,,,,,,,,,,21.789187,103.324687,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
340,0101000020E6100000105839B4C8D259401557957D57CC3540,Vietnam,Nam Muc (Thủy điện Nậm Mức),Hydro,Operational,44,2014,Vietnam,Viet Nam Electricity Development JSC/Bitexco; Nam Muc Hydropower JSC,,,,,Vietnam,Điện Biên,Mường Chà,Black-Li Xian,21.79821,103.2935,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf; https://data.opendevelopmentmekong.net/vi/library_record/nam-muc-Hydropower,
341,0101000020E6100000DBF97E6ABCD059407FF6234564983640,Vietnam,Nam Na 1 (Thủy điện Nậm Na 1),Hydro,Operational,30,2016,Vietnam,Viet Nam Electricity Development JSC/Bitexco; Nam Muc Hydropower JSC,,,,,Vietnam,Lai Châu,Phong Thổ,Black-Li Xian,22.59528,103.2615,,,Vietnam Electricity,,
342,0101000020E610000004ADC090D5CE59409599D2FA5B7E3640,Vietnam,Nam Na 2,Hydro,Operational,66,2015,,,,,,,,,,,22.493591,103.231785,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
343,0101000020E610000097FF907EFBCE5940E7C6F484257E3640,Vietnam,Nam Na 2 (Thủy điện Nậm Na 2),Hydro,Operational,66,2015,Vietnam,Hưng Hải Lai Châu Construction Co. Ltd (Công ty CP tập đoàn Hưng Hải); EVN (Vietnam),,,,,Vietnam,Lai Châu,Sìn Hồ,Black-Li Xian,22.49276,103.2341,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,
344,0101000020E61000002810768A55CA5940C5AEEDED964C3640,Vietnam,Nam Na 3,Hydro,Operational,84,2015,,,,,,,,,,,22.299178,103.161471,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
345,0101000020E61000005F07CE1951CA59404DD6A887684C3640,Vietnam,Nam Na 3 (Thủy điện Nậm Na 3),Hydro,Operational,84,2016,Vietnam,Hưng Hải Lai Châu Construction Co. Ltd (Công ty CP tập đoàn Hưng Hải); EVN (Vietnam),,,,,Vietnam,Lai Châu,Nậm Nhùn,Black-Li Xian,22.29847,103.1612,,,Vietnam Electricity,https://en.evn.com.vn/userfile/User/huongbtt/files/2018/1/Quyetinh95CUCDTDL2017.pdf,
346,0101000020E610000039D384ED27395A402B33A5F5B79C3640,Vietnam,Nam Ngan,Hydro,Operational,13.5,2009,,,,,,,,,,,22.612182,104.893062,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
347,0101000020E610000097FF907EFBBC5940FDF9B660A96A3640,Vietnam,Nam Nghe,Hydro,Operational,7.5,,,,,,,,,,,,22.416647,102.95285,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
348,0101000020E6100000855D143DF01A5A4087BF266BD44B3340,Vietnam,Nam Non,Hydro,Operational,20,2015,,,,,,,,,,,19.29621,104.420913,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
349,0101000020E6100000F2B5679604BC5940302FC03E3A4D3540,Vietnam,Nam Nua,Hydro,Operational,10.8,2017,,,,,,,,,,,21.30167,102.93778,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
350,0101000020E6100000CCD24ECDE5005A405B25581CCE583540,Vietnam,Nam Pan 5,Hydro,Operational,34.5,,,,,,,,,,,,21.346895,104.014026,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
351,0101000020E610000001DE02098A475A402575029A08DB3240,Vietnam,Nam Pao,Hydro,Operational,2,2011,Laos,"Simuang Group (87%), Phudoi Development Co.(13%)",,,,,Vietnam,Nghệ An,Thanh Chương,Song Ca,18.8556,105.1178,,,"Ministry of Energy and Mines, Lao PDR",,
352,0101000020E61000003F1BB96E4AD95940E0DBF4673FCA3540,Vietnam,Nam Pay,Hydro,Operational,7.5,2019,,,,,,,,,,,21.79003,103.395168,,,Open Development Vietnam,,https://data.opendevelopmentmekong.net/dataset/hydropower-plants-in-vietnam-by-october-2020
353,0101000020E6100000D578E926310C5A40F92CCF83BB6B3640,Vietnam,Nam Phang,Hydro,Operational,36,2012,USA; Vietnam,"IPA Investment, Bac Ha Energy JSC",,,China,"Zhejiang Hydropower Construction and Installation Co., Ltd",Vietnam,Lào Cai,Bảo Thắng,Red Mainstem and Delta,22.42083,104.1905,,146000,Vietnam Electricity,"https://cdm.unfccc.int/Projects/Validation/DB/SHV22JD8592KO8TZM3A89DAMCCJE87/view.html;
  https://tinnhanhchungkhoan.vn/ipa-khanh-thanh-nha-may-thuy-dien-nam-phang-post16211.html",
354,0101000020E61000003B70CE88D20A5A40E02D90A0F8713540,Vietnam,Nam Pia (Thủy điện Nậm Pia),Hydro,Operational,15,2009,Vietnam,"Lam Son Construction & Commerce Co., Ltd.",,,,,Vietnam,Sơn La,Mường La,Black-Li Xian,21.4452,104.1691,,61000,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/nam-pia-Hydropower,
